DrugID	TargetID
Allitinib	1956
Allolactose	945006
Allopurinol	7498
Allosamizoline	1118
Allylestrenol	5241
Allylestrenol	2099
Allylestrenol	6536
Almitrine	476
Almonertinib	1956
Almorexant	3061
Almotriptan	3352
Almotriptan	3351
Alogliptin	1803
Alosetron	3359
Aloxistatin	824
Aloxistatin	1511
Alpelisib	5290
Alpha-1-proteinase inhibitor	1991
Alpha-Adenosine Monophosphate	1253537
Alpha-Aminobutyric Acid	2628
Alpha-Aminobutyric Acid	1950
Alpha-Benzyl-Aminobenzyl-Phosphonic Acid	55
Alpha-D-Glucose 1,6-Bisphosphate	5236
Alpha-D-Glucose-1-Phosphate-6-Vanadate	5236
Alpha-L-Arabinose	946409
Alpha-L-Arabinose	944780
Alpha-Methyl-N-Acetyl-D-Glucosamine	6401
Alpha-Methyl-N-Acetyl-D-Glucosamine	4153
Alpha-Methyl-N-Acetyl-D-Glucosamine	6403
Alpha-Methylene Adenosine Monophosphate	936985
Alpha-Methylisocitric Acid	50
Alpha-Ribazole-5'-Phosphate	1253537
Alpha-Ribazole-5'-Phosphate Derivative	1253537
Alprazolam	2559
Alprazolam	2561
Alprazolam	2555
Alprazolam	2557
Alprazolam	2566
Alprazolam	2565
Alprazolam	2556
Alprazolam	2567
Alprazolam	2564
Alprazolam	706
Alprazolam	2558
Alprazolam	2563
Alprazolam	2568
Alprazolam	55879
Alprazolam	2554
Alprazolam	2562
Alprazolam	2560
Alprenolol	154
Alprenolol	153
Alprenolol	3350
Alprenolol	155
Alprostadil	11251
Alprostadil	5734
Alprostadil	5732
Alprostadil	6915
Alprostadil	5733
Alprostadil	5731
Alrestatin	231
Alrizomadlin	7157
Alrizomadlin	4193
Alsterpaullone	2932
Alsterpaullone	1017
Alsterpaullone	983
Alsterpaullone	1020
Alteplase	5054
Alteplase	5340
Alteplase	2243
Alteplase	2266
Altiratinib	4916
Altiratinib	7010
Altiratinib	3791
Altiratinib	4233
Altiratinib	4914
Altropane	6531
Aluminium	7018
Aluminium	476
Aluminium	351
Aluminium	3816
Aluminium monostearate	7416
Aluminium monostearate	7417
Aluminium monostearate	7134
Aluminium monostearate	7419
Aluminium phosphate	7018
Aluminium phosphate	3816
Aluminium phosphate	476
Aluminium phosphate	351
Aluminum acetate	476
Aluminum acetate	3816
Aluminum acetate	351
Aluminum acetate	7018
Aluminum chloride	2746
Alvelestat	1991
Alverine	3350
Alvespimycin	3320
Alvimopan	4988
Alvimopan	4985
Alvimopan	4986
Alvocidib	5834
Alvocidib	1956
Alvocidib	983
Alvocidib	5836
Alvocidib	1020
Alvocidib	1024
Alvocidib	1019
Alvocidib	1021
Alvocidib	1017
Alvocidib	1025
Alvocidib	1022
Alvocidib	5837
Amantadine	89832
Amantadine	1136
Amantadine	1137
Amantadine	116443
Amantadine	1813
Amatuximab	10232
Ambenonium	43
Ambrisentan	1910
Ambrisentan	1909
Amcasertib	5156
Amcinonide	2101
Amcinonide	2103
Amcinonide	2908
Amcinonide	2104
Amcinonide	301
Amdinocillin	945240
Amelubant	1241
Amelubant	56413
Amibegron	155
Amidephrine	152
Amido Phenyl Pyruvic Acid	64499
Amifampridine	3736
Amifostine	251
Amikacin	98390450
Amiloride	40
Amiloride	41
Amiloride	26
Amiloride	6339
Amiloride	6548
Amiloride	6340
Amiloride	5328
Amiloride	6338
Amiloride	6337
Amineptine	6531
Amineptine	6530
Amineptine	6532
Aminobenzoic acid	882128
Aminocaproic acid	5327
Aminocaproic acid	5340
Aminocaproic acid	4018
Aminodi(Ethyloxy)Ethylaminocarbonylbenzenesulfonamide	760
Aminoglutethimide	1588
Aminoglutethimide	1583
Aminohippuric acid	9376
Aminolevulinic acid	210
Aminolevulinic acid	5498
Aminomethylcyclohexane	83575387
Aminomethylcyclohexane	5644
Aminomethylcyclohexane	947703
Aminooxyacetic acid	189
Aminooxyacetic acid	875
Aminophosphonic acid-guanylate ester	998
Aminophylline	3066
